IDfg,AVG+,OBP+,SLG+,BABIP+,BB%+,HardHit%,wFB,wSL,wCT,wCB,wCH,wSF,vs RHP,vs LHP
11445,100,111,87,104,136,0.374,-4.9,-1.7,2.9,-1.0,6.4,-0.9,0.229,0.275
12144,105,98,96,105,68,0.366,-3.5,1.3,0.7,1.9,-0.4,1.3,0.247,0.273
19892,109,110,136,95,138,0.44,7.2,-1.1,1.0,-1.3,0.8,0.9,0.282,0.2
13723,107,113,112,110,117,0.344,3.1,1.8,-0.5,0.8,1.4,-0.3,0.258,0.274
17128,105,99,109,119,59,0.40299999999999997,8.2,-6.7,1.1,1.3,0.8,0.3,0.236,0.305
18795,106,104,107,98,94,0.381,5.4,-5.3,2.6,0.4,5.4,0.3,0.237,0.295
19260,112,105,95,112,83,0.247,2.1,2.6,0.7,-2.7,0.8,-2.3,0.284,0.241
19470,96,93,103,87,87,0.35100000000000003,-0.8,1.3,-1.4,1.1,1.6,-1.5,0.181,0.412
24262,103,89,99,109,32,0.36700000000000005,-7.7,1.7,-0.2,-1.3,0.8,1.0,0.259,0.211
21707,103,96,92,100,79,0.349,-4.2,-2.3,-1.7,1.0,3.1,0.5,0.268,0.19
26365,90,90,84,93,82,0.28,-0.1,-3.5,-5.2,0.8,-0.2,-0.6,0.226,0.191
19339,101,101,75,101,102,0.16899999999999998,4.8,-8.5,2.2,-1.8,0.4,-1.8,0.246,0.213
4949,97,97,120,98,102,0.551,5.7,-0.5,-5.4,4.3,-2.6,-1.1,0.23,0.238
31837,117,113,105,106,79,0.375,9.0,-1.6,1.8,0.1,1.1,0.4,0.31,0.191
8623,116,109,103,117,86,0.37,6.1,3.3,-2.7,-3.3,-0.1,1.2,0.277,0.302
17907,108,100,101,114,70,0.43799999999999994,-0.1,-8.1,1.8,5.0,-0.1,0.7,0.252,0.311
4940,86,92,103,77,104,0.413,-4.1,3.1,1.6,0.1,-2.8,0.3,0.214,0.182
17273,96,86,102,96,59,0.349,-3.7,-2.1,1.6,0.3,-0.7,0.5,0.204,0.262
15905,93,93,92,92,84,0.462,1.6,-1.8,-3.2,-0.7,2.0,-1.0,0.235,0.216
18819,101,96,91,109,76,0.325,-1.9,-0.4,-2.3,-0.5,1.5,-0.9,0.161,0.292
19352,78,90,87,75,124,0.365,-5.2,-2.3,-2.1,2.4,1.5,-0.2,0.2,0.175
13185,88,86,88,84,83,0.37799999999999995,-9.9,-8.8,5.1,-2.6,-0.2,-3.0,0.22,0.209
9774,92,80,83,90,43,0.361,-6.1,-5.4,-1.8,-2.1,2.0,0.1,0.23,0.2
17954,97,97,126,105,108,0.511,-0.5,0.2,1.9,2.6,1.1,-1.4,0.214,0.3
22054,107,106,109,128,90,0.475,0.6,3.4,0.5,-0.6,-0.2,-0.2,0.237,0.281
33189,104,111,92,100,138,0.253,-8.5,6.6,-0.7,0.8,2.6,1.0,0.252,0.244
10472,93,89,92,87,83,0.41200000000000003,-11.3,2.5,-0.7,-4.3,3.6,0.1,0.226,0.235
10681,103,92,91,96,61,0.282,-4.6,0.5,0.4,-0.2,-4.7,-1.1,0.271,0.177
21693,94,91,88,88,77,0.33899999999999997,-2.0,-2.5,1.1,-0.7,-0.3,-2.0,0.256,0.163
19844,100,95,89,98,68,0.292,-2.3,1.5,-1.1,1.0,-4.6,-2.7,0.227,0.286
22514,100,109,117,109,152,0.452,3.9,1.0,0.6,-0.7,0.1,-0.9,0.237,0.25
27615,109,100,104,94,71,0.41,-5.0,-1.7,0.9,-0.9,12.7,1.5,0.292,0.195
12564,107,110,100,131,128,0.295,0.3,0.8,1.3,-0.6,-0.7,-0.9,0.276,0.167
6184,95,101,100,104,120,0.455,2.8,-5.8,-1.3,-2.9,4.7,0.5,0.225,0.263
28163,104,97,108,101,76,0.457,-1.2,-0.5,0.2,2.8,0.6,-0.7,0.23,0.346
9241,109,104,96,113,89,0.429,-6.5,1.0,1.4,0.2,3.3,-0.3,0.251,0.31
16535,86,100,88,80,152,0.29100000000000004,-1.1,-1.7,-2.3,1.2,0.2,-1.3,0.193,0.237
17027,97,94,90,88,97,0.349,-8.7,5.1,-7.8,-0.7,-0.3,-0.1,0.235,0.228
21538,92,82,79,83,40,0.226,-6.1,0.6,-6.2,1.4,-5.3,0.6,0.242,0.196
9847,94,104,102,96,137,0.363,7.7,0.8,0.6,-2.9,0.4,0.3,0.244,0.2
19779,108,100,99,111,75,0.374,0.4,-1.8,-0.8,1.7,0.9,-0.5,0.193,0.317
25660,110,100,98,101,66,0.325,-5.3,-1.6,0.2,0.0,0.2,3.1,0.278,0.143
11680,107,99,94,107,69,0.341,-9.8,4.1,0.0,0.1,-1.2,0.6,0.27,0.253
16572,92,101,91,94,128,0.32,1.6,-5.5,-0.7,1.7,2.2,-0.2,0.224,0.234
22558,93,91,97,101,86,0.449,-3.6,-7.2,2.4,3.5,-0.9,0.2,0.235,0.206
18564,79,94,98,76,130,0.46,-0.5,-2.7,3.2,0.0,-1.0,-0.7,0.184,0.211
12434,95,94,96,95,63,0.297,-4.8,-0.7,1.2,-1.8,-2.4,-0.3,0.173,0.31
20043,93,90,96,108,81,0.406,-6.5,1.8,-3.3,2.9,-1.9,-2.7,0.233,0.194
14813,89,95,90,88,97,0.292,-10.4,-0.9,-0.9,3.1,2.9,-0.5,0.167,0.262
12158,107,105,76,118,109,0.311,-4.0,-2.6,0.4,0.0,2.5,-0.2,0.225,0.368
26123,93,97,81,98,114,0.33,-0.1,-0.5,-0.1,0.4,-3.0,-1.1,0.242,0.182
27735,96,88,85,102,58,0.313,-2.7,4.2,-2.9,-1.4,-2.3,-1.9,0.221,0.298
19262,96,89,76,110,75,0.304,-5.5,-3.5,1.8,-3.4,-2.3,1.3,0.235,0.226
12147,93,85,73,97,59,0.23,-1.7,-3.1,-2.2,-1.9,-1.5,-1.0,0.198,0.278
25845,88,99,113,91,143,0.5,13.9,-3.1,-3.1,-2.3,-0.7,-0.4,0.21,0.236
18400,115,106,106,108,88,0.35100000000000003,0.5,0.0,-0.1,1.6,0.4,-0.8,0.272,0.304
27577,102,90,118,92,43,0.361,0.1,-1.5,1.0,0.7,0.9,-1.0,0.21,0.311
2136,108,106,103,107,103,0.418,-0.1,0.2,-0.1,0.8,3.9,-0.2,0.273,0.2
11737,103,99,107,99,76,0.377,7.9,-2.9,-3.3,-1.8,1.6,2.3,0.249,0.269
21837,98,100,109,92,103,0.46399999999999997,-1.5,1.1,2.0,0.7,0.9,-1.4,0.243,0.176
15878,119,104,96,112,50,0.337,0.7,-3.7,-1.3,2.6,1.4,-0.7,0.256,0.411
19890,97,100,86,101,105,0.441,-5.4,0.0,-1.3,-0.6,1.3,0.6,0.237,0.239
11281,90,99,78,87,127,0.212,-7.2,0.3,3.2,0.7,-1.4,-1.3,0.231,0.206
23565,80,91,87,90,127,0.37200000000000005,-10.4,-0.3,-0.6,0.5,-1.0,-0.4,0.203,0.165
25807,87,94,78,95,114,0.38799999999999996,-7.7,0.0,-2.1,2.6,-1.2,-0.6,0.219,0.208
16426,88,78,85,84,32,0.317,0.3,-6.7,-0.3,-2.4,-4.5,-0.5,0.227,0.187
18067,84,94,65,98,110,0.086,-2.0,-4.1,0.6,0.8,-1.9,0.6,0.195,0.235
11489,78,80,72,98,93,0.401,-2.9,-6.2,-0.6,-2.7,-1.9,-1.7,0.192,0.196
12976,63,66,56,77,51,0.24100000000000002,-4.6,-6.5,-3.1,0.5,-0.8,-0.1,0.097,0.217
31166,105,114,100,119,108,0.439,-0.1,0.8,2.2,-1.3,2.7,-0.7,0.229,0.375
27467,97,102,109,96,116,0.489,5.2,-2.9,0.8,-1.0,-1.3,0.0,0.225,0.3
26299,110,96,107,113,52,0.397,0.4,1.3,-0.2,1.1,-0.6,0.1,0.262,0.273
11442,89,97,97,90,117,0.442,2.3,-3.1,-1.9,0.9,-1.1,-0.3,0.227,0.212
15518,116,99,96,122,32,0.36200000000000004,-5.8,-4.2,1.9,1.6,1.5,1.5,0.272,0.294
22263,82,86,99,94,103,0.384,-5.8,-1.1,2.0,0.6,-4.4,1.3,0.204,0.2
13152,89,96,90,96,121,0.37200000000000005,-3.4,-3.3,-2.8,-1.3,-2.8,-0.6,0.198,0.25
22532,87,99,81,80,90,0.34299999999999997,-12.7,1.9,1.9,-3.6,-0.6,-0.5,0.222,0.184
19612,94,90,82,94,73,0.43,-9.3,-3.4,-3.3,1.1,-0.7,-0.6,0.242,0.153
11038,82,76,79,95,52,0.298,-6.1,-3.9,-4.6,1.3,-0.3,-0.5,0.207,0.157
21562,111,99,106,118,68,0.503,1.6,-0.2,0.3,-2.8,3.2,-1.7,0.217,0.302
19363,105,98,100,110,43,0.402,1.6,1.7,-3.2,-2.1,1.0,0.1,0.203,0.354
16622,80,98,100,88,102,0.35,1.9,-2.6,0.7,-1.4,-0.2,1.3,0.213,0.17
19522,91,98,94,77,93,0.315,-0.1,-2.3,4.4,1.4,-2.0,1.3,0.23,0.209
25575,98,103,94,129,125,0.38299999999999995,4.3,-6.1,-0.8,-0.4,2.6,-0.2,0.244,0.111
16947,98,86,105,109,35,0.36700000000000005,0.4,-2.8,0.5,1.4,0.6,-0.4,0.2,0.306
12859,97,90,98,95,69,0.377,-0.1,-1.0,-3.2,-0.6,0.6,1.0,0.246,0.212
20321,87,91,91,88,89,0.368,6.8,-2.7,-0.8,-0.6,-3.2,-0.2,0.152,0.273
33824,106,98,82,92,77,0.41,-3.6,2.1,-1.6,-0.2,2.1,0.0,0.277,0.227
17040,92,92,79,102,96,0.231,-1.5,-0.9,-1.5,3.0,-0.9,-0.6,0.234,0.212
10028,85,77,91,83,41,0.419,0.8,-1.9,-0.3,-2.0,-1.7,-0.4,0.191,0.24
15674,87,91,75,91,101,0.26899999999999996,-1.3,-3.1,-1.4,0.6,-0.3,-0.8,0.215,0.167
7859,104,104,102,99,105,0.272,0.7,3.1,7.2,0.5,-1.6,-0.7,0.255,0.26
16472,87,96,104,85,124,0.419,2.1,-4.9,3.2,-3.1,1.3,0.3,0.212,0.218
20572,89,82,111,85,51,0.424,3.3,-3.7,0.0,-0.6,-0.1,-0.7,0.202,0.3
15653,97,101,96,105,112,0.387,-3.2,2.6,1.2,2.5,-3.0,-1.3,0.232,0.234
20220,87,91,102,86,96,0.445,-6.0,3.2,1.6,-1.5,-2.9,-0.1,0.195,0.245
27465,91,95,95,100,107,0.39299999999999996,-4.9,1.9,0.1,2.1,-3.4,-2.4,0.215,0.235
26438,82,88,97,80,118,0.436,-1.6,0.3,0.7,-0.2,-0.1,-3.1,0.213,0.0
19956,92,86,96,95,62,0.344,-5.8,0.2,-2.6,-2.4,3.2,-1.4,0.223,0.182
22896,106,92,91,106,40,0.41200000000000003,-4.7,-7.3,-1.6,0.2,0.6,2.7,0.233,0.296
27790,78,88,92,79,114,0.324,-5.3,-3.9,4.2,-0.2,1.5,1.0,0.205,0.111
19151,72,85,93,91,122,0.414,-4.3,-0.2,-1.0,2.0,1.0,-0.5,0.153,0.308
33266,104,102,80,97,96,0.19,1.7,-3.2,-0.3,-0.5,-0.6,-0.6,0.25,0.25
19252,81,101,76,100,131,0.16699999999999998,-6.3,2.4,-2.2,-0.6,1.4,-0.3,0.194,0.214
23733,103,93,81,109,60,0.359,-4.2,-4.0,-0.4,-0.5,0.8,-0.3,0.264,0.209
26295,90,89,78,125,70,0.446,0.4,-1.3,-0.8,-0.9,-1.0,-0.6,0.225,0.167
16451,85,97,69,90,150,0.21100000000000002,-7.2,-2.5,1.8,1.4,-0.8,-1.6,0.224,0.056
18577,94,90,72,95,70,0.429,-18.2,2.7,-3.0,0.3,1.0,-1.1,0.211,0.309
13755,78,69,78,76,43,0.44,-3.3,-1.0,-2.0,1.1,-1.3,0.0,0.221,0.136
17838,102,102,96,92,111,0.377,-1.9,1.1,-2.6,2.5,-1.7,1.0,0.252,0.185
15194,80,95,89,94,137,0.418,2.1,-2.2,-0.2,-4.1,-0.9,0.5,0.193,0.242
23691,108,94,88,116,51,0.49200000000000005,-0.2,-3.5,-0.2,0.2,0.9,-0.1,0.292,0.208
19997,100,93,88,90,74,0.24100000000000002,-6.6,-4.2,2.3,-0.5,1.0,0.9,0.226,0.289
27534,83,95,82,101,135,0.37799999999999995,5.0,-3.9,-2.9,-4.5,-1.4,0.7,0.203,0.172
13324,100,94,78,91,76,0.319,-1.6,-1.0,1.1,-2.5,-3.3,-3.2,0.235,0.261
19948,81,87,69,107,113,0.382,-6.0,-2.5,-0.7,0.7,-0.1,-0.6,0.184,0.207
13145,101,101,100,97,103,0.397,-1.8,3.6,2.0,0.1,-2.7,-0.1,0.252,0.243
10441,98,104,98,105,143,0.37200000000000005,4.3,-3.4,-0.1,1.1,-0.8,2.6,0.258,0.145
21871,100,88,105,104,51,0.588,-1.4,0.3,1.8,-0.8,0.4,-0.5,0.239,0.262
15464,95,96,99,89,105,0.39399999999999996,-2.4,0.3,-2.0,-2.4,2.6,-0.7,0.23,0.226
2967,103,99,93,107,90,0.42700000000000005,4.2,-2.7,2.2,-1.3,-2.7,-1.3,0.256,0.222
23789,100,102,85,113,98,0.34700000000000003,4.6,-6.9,0.6,0.3,-0.6,0.1,0.207,0.297
16930,92,86,85,86,65,0.364,-14.3,-2.5,-0.6,0.1,-3.4,-0.3,0.214,0.241
16153,86,103,67,101,149,0.37200000000000005,-1.6,-1.2,-1.9,-0.1,-1.6,0.1,0.25,0.188
12861,91,99,68,90,119,0.36,-2.7,-0.1,-1.2,-0.1,-1.3,-0.4,0.215,0.241
18889,82,79,81,86,52,0.22399999999999998,-6.8,0.3,-1.4,0.5,-2.3,0.8,0.165,0.255
17276,51,65,60,58,95,0.318,-8.6,-0.7,0.9,-0.9,-3.0,-0.8,0.136,0.098
26197,102,96,102,100,76,0.431,-1.3,-1.5,-1.4,-2.0,-0.8,1.5,0.233,0.281
8090,95,100,92,113,116,0.27,3.0,-3.0,1.1,-0.7,0.8,-0.7,0.225,0.294
19287,94,92,101,96,87,0.479,-14.2,1.9,0.4,2.3,-1.4,1.6,0.222,0.231
27462,106,103,89,110,96,0.33,-1.7,-4.1,-1.2,-0.1,2.3,0.9,0.258,0.243
18171,96,91,96,102,77,0.402,-2.1,-4.3,-0.9,0.5,0.9,-1.8,0.229,0.259
3473,95,98,85,91,89,0.32799999999999996,-6.0,3.0,2.7,-0.5,-2.0,-1.6,0.231,0.221
13602,69,75,97,70,70,0.485,-5.5,-0.3,-1.2,0.0,1.5,-0.5,0.154,0.183
14712,99,94,85,96,75,0.336,-4.9,-4.8,-1.3,-5.0,3.6,0.3,0.208,0.269
17766,72,103,74,73,194,0.396,-2.4,-0.2,-1.4,-0.7,2.4,-1.6,0.192,0.0
19318,85,104,76,107,185,0.4,-3.7,-0.4,-1.8,0.8,1.5,0.2,0.21,0.184
14128,65,88,83,79,149,0.434,-5.9,-5.0,4.8,-1.9,1.7,-0.3,0.179,0.115
22563,93,82,89,111,46,0.366,-4.2,-2.3,-0.4,-0.7,2.3,-0.4,0.198,0.258
23792,77,78,89,68,82,0.46799999999999997,1.6,-3.3,-0.2,-1.5,-2.2,-0.2,0.197,0.167
19599,88,88,78,96,78,0.32799999999999996,-5.1,-0.9,-0.6,-0.4,-2.6,0.7,0.212,0.207
22458,77,91,63,89,151,0.24,-6.9,-0.8,0.0,-2.1,-3.2,-1.0,0.182,0.189
27630,79,91,60,76,137,0.26,-3.1,-2.9,-1.1,-1.2,0.5,-0.3,0.175,0.222
14477,102,92,98,113,63,0.36200000000000004,0.8,2.0,-0.1,-3.3,-3.8,-0.2,0.273,0.098
17901,95,94,100,86,97,0.341,-1.3,0.3,1.5,-1.8,-5.7,0.4,0.235,0.207
22197,86,88,102,84,96,0.45,-6.3,-1.5,-0.7,-0.8,2.3,1.6,0.215,0.164
20325,84,87,97,86,104,0.409,-0.4,1.3,-2.5,-0.2,-1.7,-0.7,0.203,0.167
19864,91,93,83,100,93,0.434,-1.9,-1.9,0.7,-2.6,1.7,0.1,0.269,0.163
20536,90,96,79,93,109,0.226,-2.0,-1.4,-2.2,-1.8,-1.5,0.4,0.23,0.197
19610,93,82,89,78,40,0.254,-7.4,-1.5,-5.5,-1.1,-1.7,-1.3,0.231,0.222
19455,84,96,67,101,137,0.41200000000000003,-3.9,-0.5,-1.6,0.6,-0.8,-0.7,0.219,0.197
23986,99,91,73,107,56,0.36200000000000004,-2.6,-1.7,-2.3,-1.7,2.1,,0.167,0.364
15730,88,90,59,93,86,0.175,-7.0,1.2,-1.6,-0.5,-0.6,0.9,0.235,0.105
24770,60,81,66,70,124,0.38299999999999995,-2.1,-2.9,-0.6,-1.7,-2.1,0.1,0.149,0.133
13768,83,86,61,89,71,0.247,-6.5,-1.5,0.4,2.0,-3.2,-1.7,0.215,0.0
13621,91,88,106,87,71,0.342,10.7,-4.0,-7.4,-1.4,0.3,-1.5,0.229,0.215
16219,91,95,86,95,94,0.43700000000000006,-1.0,-2.8,0.7,-3.1,0.1,1.7,0.226,0.204
15161,72,93,86,76,152,0.397,1.3,-11.1,-3.1,-3.2,3.4,0.1,0.145,0.218
17893,85,93,84,85,111,0.402,-5.7,-2.0,0.1,1.8,-1.3,-1.3,0.206,0.202
25543,87,79,88,97,53,0.376,-8.2,-6.3,-0.9,-0.3,-4.3,0.5,0.211,0.204
18353,83,84,84,88,86,0.488,-6.3,-1.5,-0.3,0.9,-0.5,-0.1,0.158,0.253
15279,85,86,75,102,74,0.361,-2.9,-2.6,-1.4,0.1,0.3,0.4,0.182,0.244
25353,91,97,65,93,99,0.253,-4.2,-1.5,-1.1,0.4,-1.8,0.9,0.164,0.302
12510,79,93,62,80,126,0.17,-2.2,-2.9,-0.5,-0.9,1.0,0.0,0.197,0.19
20017,79,78,56,78,80,0.305,-5.0,0.0,-0.8,-0.6,-0.5,-0.9,0.195,0.188
15679,98,95,97,95,89,0.365,-5.7,-1.1,3.3,-5.5,1.7,0.9,0.248,0.2
22217,92,89,89,81,81,0.342,-8.2,-1.0,-0.7,2.5,-3.1,0.6,0.256,0.143
12005,86,86,92,83,67,0.33899999999999997,-7.1,-0.3,1.0,1.2,1.5,1.8,0.221,0.182
23359,83,89,93,83,102,0.381,0.0,-6.2,0.4,-2.2,-0.1,0.9,0.179,0.25
19293,79,90,82,79,127,0.254,-7.6,-0.2,-1.6,0.7,-0.3,-0.3,0.199,0.185
13757,82,94,74,98,138,0.28600000000000003,-4.0,0.3,-1.9,-0.4,-0.4,-1.0,0.214,0.183
9874,85,87,66,80,103,0.376,-6.6,-2.8,-0.9,-2.9,-1.1,-2.3,0.227,0.164
26224,80,85,61,82,100,0.33299999999999996,-3.0,-5.3,-1.2,-0.2,0.8,-0.5,0.143,0.279
31349,73,70,70,79,47,0.33299999999999996,-1.1,-1.9,-1.7,-1.6,-0.3,-1.5,0.171,0.2
21853,76,87,93,96,125,0.401,-1.9,-2.0,-4.3,0.2,0.0,-1.3,0.194,0.153
21716,89,88,92,89,94,0.418,-4.0,-1.0,-1.3,-0.6,2.2,-0.1,0.237,0.094
14274,87,93,85,97,116,0.45899999999999996,-10.0,-4.1,-0.7,3.1,-1.9,0.0,0.224,0.178
27475,82,80,91,85,68,0.431,-6.0,-1.1,0.0,-0.1,-1.1,1.2,0.214,0.17
5254,88,104,74,96,171,0.276,-0.9,0.8,0.5,-2.9,-3.5,-0.5,0.178,0.243
14387,108,90,81,111,25,0.33899999999999997,-1.8,-2.1,-0.3,-1.2,-0.6,-1.2,0.25,0.277
26151,85,85,83,109,75,0.513,-7.0,0.6,-1.6,-0.9,1.6,0.6,0.217,0.175
21270,76,92,73,92,135,0.344,2.0,-1.1,0.3,-0.3,-0.7,0.8,0.18,0.2
20311,89,89,78,98,98,0.282,-2.5,-3.7,0.5,0.5,-4.6,-0.7,0.169,0.262
15223,84,91,74,86,92,0.228,-2.9,-5.1,-1.8,-0.7,1.5,-0.6,0.206,0.172
23312,57,82,53,74,155,0.33899999999999997,-3.3,-0.9,-1.7,-1.1,0.6,-0.8,0.138,0.133
22277,73,70,63,74,59,0.163,-3.6,-2.5,0.6,0.1,-1.1,-0.4,0.186,0.158
5827,83,88,79,74,100,0.27399999999999997,-6.6,-2.2,0.1,1.8,-1.3,0.2,0.197,0.216
13355,72,85,62,91,102,0.247,-4.2,-1.3,-2.8,-2.2,0.4,0.0,0.168,0.2
12979,77,72,75,77,51,0.39799999999999996,-11.6,-8.8,1.9,-0.9,-3.0,0.1,0.191,0.159
30011,77,70,73,84,39,0.373,-6.4,-4.4,-0.5,-0.9,0.4,1.4,0.2,0.167
26031,79,80,56,85,76,0.32899999999999996,-2.6,-3.5,0.1,-1.3,-1.3,0.0,0.179,0.238
29617,58,77,52,79,129,0.349,-9.9,0.2,1.1,-0.5,0.6,0.2,0.112,0.25
20529,92,102,79,113,147,0.444,-0.4,-2.8,1.7,-2.2,-4.6,2.5,0.237,0.205
16337,92,82,91,92,49,0.29600000000000004,-10.5,0.9,1.5,-0.4,-1.4,1.1,0.232,0.185
15429,88,102,74,109,102,0.302,-1.5,-0.5,-1.7,-2.0,0.4,-0.1,0.253,0.132
26467,86,75,86,75,39,0.37,-7.9,-2.1,-0.9,3.5,0.5,0.0,0.216,0.208
26149,86,82,65,95,56,0.266,-12.9,-2.3,-2.1,1.7,-1.8,0.2,0.215,0.176
31567,81,85,57,83,92,0.314,-6.4,-2.0,-1.1,-1.8,-1.7,-0.8,0.246,0.125
17982,96,98,92,96,87,0.397,-7.5,-4.1,2.8,2.5,-3.7,0.3,0.235,0.231
19901,97,98,90,98,106,0.35100000000000003,-3.7,-6.9,0.5,-1.2,4.8,0.2,0.239,0.205
17484,99,94,85,100,78,0.49,-1.9,-4.3,-1.3,-2.0,-1.4,-2.2,0.238,0.236
19698,91,92,83,85,99,0.355,0.3,-1.5,0.1,-1.0,-1.9,0.5,0.232,0.215
21897,80,92,86,80,122,0.40399999999999997,-11.7,-5.4,-1.5,1.7,-0.5,0.0,0.208,0.148
14366,94,92,75,95,81,0.39299999999999996,-6.7,5.8,-1.8,-2.8,-5.2,0.4,0.256,0.174
10950,74,78,80,77,77,0.366,-6.3,-6.7,-0.9,-0.3,-1.3,0.5,0.143,0.252
20126,86,92,69,99,101,0.258,-7.1,-4.5,-3.5,2.4,2.5,0.0,0.206,0.212
20178,62,80,64,61,129,0.263,-11.3,-2.6,1.1,1.4,-2.3,0.1,0.13,0.181
22244,74,84,80,76,118,0.382,-2.1,-0.5,-2.5,1.9,-3.7,-2.8,0.175,0.229
19600,94,86,95,98,57,0.41,-4.1,-8.7,0.7,-1.1,2.3,-2.0,0.21,0.285
29715,77,72,103,67,43,0.396,0.7,-4.7,-1.8,-3.9,3.2,-1.5,0.177,0.207
15172,87,75,56,102,35,0.301,-8.3,-5.8,-2.0,-0.2,-4.0,-1.2,0.201,0.235
26517,85,79,75,99,45,0.355,-3.7,-6.2,-2.3,1.8,-1.1,-0.6,0.209,0.214
6887,49,56,58,53,67,0.35600000000000004,-11.8,-5.3,-1.7,0.9,1.0,-1.2,0.149,0.049
15676,52,54,49,50,41,0.326,-5.9,-3.1,-1.5,-1.1,-2.4,-0.3,0.127,0.118
20543,83,85,75,85,98,0.415,0.2,-2.6,-2.4,-1.9,-3.5,-1.8,0.219,0.164
12155,71,68,78,66,61,0.425,-5.9,-10.1,-0.3,-4.4,-1.1,0.9,0.175,0.172
11615,71,78,58,73,92,0.35200000000000004,-14.3,-1.7,-2.7,-1.4,-4.6,-0.8,0.167,0.176
